IMAGE ID,time stamp,likes,no.of comments,post_Metadata,post link
2001_1,09-05-2022,15773,3831,"#Gold choker
#Kurta
#The whole lehenga se
#Kamarbandh
#Earrings & kada

#Trench jacket
#Jeans
#Bustier top

#White chiffon lehenga skirt
#Long jacket
#Bustier top

#Lehenga
#Bustier top
#Earrings

#Pants
#Shirt
#Earrings
#Bustier top

Look 6:
#Sharara & dupatta
#Bustier top
#Jewels

#Green off-shoulder top",https://www.instagram.com/p/CgTev_mp_fD/
2002_1,26-01-2021,76728,257,#TopinOff_White #RodebjerLinnSilk  #SweetShirtsWomen  #DonaBlouse,https://www.instagram.com/p/CJvy5magLo-/
2001_2,29-04-2022,55143,381,"#T-shirt
#Skirt
#Heels
#Bag

#Ribbed cardigan
#Bikini
#Skirt

#Ribbed cardigan
#Pants
#Bag
#Sunglasses

#Bodysuit
#Skirt
#Sunglasses

#Corset
#Bag
#Jeans #Tie-up top
#Jeans
#Bag
#Jacket
#Ribbed tank top
#Jeans
#Bag

#Jacket & skirt
#Top
#Sunglasses

#Dress
#Heels

#Shirt
#Skirt
#Heels
#Bag

#Top
#Skirt
#Bag #sunglasses",https://www.instagram.com/p/Cc74SOuJAkw/
2002_2,16-11-2020,89229,267,#partywear #gagra_with_bellhands  ,https://www.instagram.com/p/CHpk2PoAXOy/
2001_3,19-03-2022,97482,319,#Embroidered Lehangaand and blouse set #lehanga,https://www.instagram.com/p/CbR8k0RpIN_/
2001_4,13-03-2022,60150,201,#indoWestern #EthnicCropTop #PrintedCropTop #BustierrLehenga,https://www.instagram.com/p/CbDBGqmp-gu/
2002_3,04-02-2021,93161,339,@pink chikankari anarkali,https://www.instagram.com/p/CK3e0SHgg4r/
2002_4,30-04-2021,108778,288,@pirzadas closet for wedding fashion,https://www.instagram.com/p/CORtFOUg8qy/
2003_1,15-07-2022,10910,212,@cargo pants @toco jogger,https://www.instagram.com/p/CgBe_EQug94/
2004_1,15-07-2022,519500,2282,@Green Chiffon Silk Saree With Blouse,https://www.instagram.com/p/CgCHYxRJMzq/?hl=en
2003_2,12-07-2022,4656,42,@alasha women topand skirt,https://www.instagram.com/p/Cf57_NBJGWb/
2005_01,17-09-2021,271000,1010,Babita Malkami Ruffle saree gown Halter Neck Blouse,https://www.instagram.com/p/CT6mCp7LOx1/?utm_source=ig_web_copy_link
2002_5,11-05-2021,74120,226,@saffana,https://www.instagram.com/p/COu8iL2APsW/
2004_2,24-07-2022,305551,1835,@Gerogette Saree With Heavy Work  Shrug,https://www.instagram.com/p/CgZd2uGJcXs/?hl=en
2002_6,06-09-2021,109978,352,@Dhoop kurtta with kang-ri pants,https://www.instagram.com/p/CTdsjDsov1Y/
2005_02,28-12-2021,452000,1669,anarkali suit,https://www.instagram.com/p/CYBCu73JFI-/?utm_source=ig_web_copy_link
2004_3,09-07-2022,686343,3441,@Anouk Blue & Silver Toned Rogan Print Flared Skirt,https://www.instagram.com/p/CfyVrDcpwqB/?hl=en
2002_7,17-11-2021,82345,227,@party wear pink colour sharara,https://www.instagram.com/p/CWYDEoAPCBG/
2003_9,05-01-2022,13604,74,@wool solid coat @long wool sweter,https://www.instagram.com/p/CYWpnRvt6o1/
2003_3,24-06-2022,7377,117,@embroidered lehenga @bride lehanga cholis,https://www.instagram.com/p/CfLbqFUpxgp/
2003_4,21-06-2022,11480,196,@weddingwear @brides lehanga @designer wear lehanga,https://www.instagram.com/p/CfDnsVjNDjM/
2005_03,18-06-2022,3673,150,long puffy prom dresses,https://www.instagram.com/p/Ce8RuYiDHQT/?utm_source=ig_web_copy_link
2004_4,31-05-2022,700525,3162,@Shlok Georgette Blue Lehenga,https://www.instagram.com/p/CeOSt4jJRUv/?hl=en
2002_8,05-01-2022,128304,357,@patchedshirt  @skinnydenims online,https://www.instagram.com/p/CYWN3rLPNtM/
2005_04,02-05-2022,2365,77,velvet design saree,https://www.instagram.com/p/CdDPTRlukIs/?utm_source=ig_web_copy_link
2005_05,17-12-2021,16700,293,georgette kurthi with sharara,https://www.instagram.com/p/CXk1x3YoWDu/?utm_source=ig_web_copy_link
2004_5,29-04-2022,595482,2682,@Lehenga Choli With Dupatta,https://www.instagram.com/p/Cc8EtVNsn27/?hl=en
2002_9,14-01-2022,185265,507,Styling @gumanistylists,https://www.instagram.com/p/CYscQESv4Uf/
2005_06,08-05-2022,2320,89,heavy rayon sequence designer salwar suit  heavy rayon long stitched kurtha pant with dupatta,https://www.instagram.com/p/CdSniApNxxd/?utm_source=ig_web_copy_link
2004_6,30-03-2022,723791,3262,@Cape And Kurta,https://www.instagram.com/p/CbufoAdpt4l/?hl=en
2003_5,15-06-2022,15468,85,@saava @solid women  track suit,https://www.instagram.com/p/Ce08__sNAhU/
2002_10,02-04-2022,68734,228,@Astha Narang White Silk Lehenga,https://www.instagram.com/p/Cb1p6G9omic/
2003_6,21-04-2022,11686,71,@kurta @chanderi kurta,https://www.instagram.com/p/CcmtAPbt6mH/
